species,family,order,fishbase_name,column_pos,depth_min,depth_max,length (cm),length_type,diet_fishbase,migration,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental care,fecundity,life_span,social,sources,Comments,AddRems,fish,decapod,pelagic_crustacean,Pteropoda,worm,tunicate,cephalopod,gastropod,Ctenophora,echinoderm,Bivalvia,Cnidaria,eggs,bird,
Cryptacanthodes giganteus,Cryptacanthodidae,Perciformes,Cryptacanthodes giganteus,demersal,6,128,123,TL,NA,,generalist,Beukhof et al. 2019,,terminal,rounded,soft bottoms,buried,,,,,,,,,,,,Found on soft bottoms (Ref. 12204).  Probably spends part of its life buried (Ref. 12204).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Aptocyclus ventricosus,Cyclopteridae,Scorpaeniformes,Aptocyclus ventricosus,benthopelagic,0,1700,41,TL,hunting macrofauna (predator),oceanodromous,planktivore,Beukhof et al. 2019,,terminal,rounded,pelagic,pelagic,-1,15,,,,Love 2011,,65000,,,,Males are said to guard the eggs (Ref. 6885).  Migrate to spawn in littoral waters of Bering Sea in December-June (Ref. 43939).,Migrate to spawn in littoral waters of Bering Sea in December-June (Ref. 43939).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Boreogadus saida,Gadidae,Gadiformes,Boreogadus saida,demersal,0,731,40,TL,hunting macrofauna (predator),oceanodromous,invertivore,NOAA,variable,terminal,forked,pelagic,demersal,-2,10,0,32.6,,USGS,none,67000,7,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Occurs in coastal habitats during summer and winter (Ref. 1371).  Cryopelagic or epontic, from surface down to 1383 m (Ref. 58426).  In the Beaufort Sea, it may also be found in brackish lagoons and in almost fresh water in river mouths (Ref. 1371).  Although associated with the occurrence of ice (White Sea), it is present in ice-free near-shore waters (Alaska) (Ref. 1371).  Onshore-offshore movements are associated with spawning and movements of the ice (Ref. 27547).  Feeds mostly on epibenthic mysids, also amphipods, copepods and fishes (Ref. 1371).  Also caught with mid-water trawls (Ref. 1371).  Utilized as fishmeal and source of oil (Ref. 1371).  Euryhaline and eurythermic.","Occurs in coastal habitats during summer and winter (Ref. 1371).  In the Beaufort Sea, it may also be found in brackish lagoons and in almost fresh water in river mouths (Ref. 1371).  Although associated with the occurrence of ice (White Sea), it is present in ice-free near-shore waters (Alaska) (Ref. 1371).  Onshore-offshore movements are associated with spawning and movements of the ice (Ref. 27547).  Feeds mostly on epibenthic mysids, also amphipods, copepods and fishes (Ref. 1371).  Preyed upon by marine mammals, seabirds (murres and black guillemots), fishes (Atlantic salmon, Arctic char, Atlantic cod, Greenland halibut and Greenland cod), harp seals, bearded seals, ringed seals, white whales and narwhals.  Parasites of the species include <i>Clavella adunca</i>, <i>Haemobaphes cyclopterina</i> and <i>Sphyrion lumpi</i> (copepods) (Ref. 5951).  Also caught with mid-water trawls (Ref. 1371).",2.028639618,2.863961814,79.9522673,0.596658711,10.02386635,4.295942721,0.119331742,0,0,0,0.119331742,0,0,0,
Eleginus gracilis,Gadidae,Gadiformes,Eleginus gracilis,demersal,0,200,55,TL,variable,amphidromous,invertivore,NOAA,benthic,inferior,truncate,soft bottoms,demersal,-1.7,11.7,1.1,33,,"Coad et al. 2018, USGS",none,680000,15,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Occurs in shallow coastal waters (Ref. 1371).  Enters rivers and may go considerable distances upstream, but usually remaining within regions of tidal influence (Ref. 1371, 27547).  Adults exhibit seasonal movements:  inshore during winter for purposes of spawning and offshore during summer for feeding (Ref. 1371).  Juveniles and adults are opportunistic epibenthic feeders; juveniles feed on fish and small benthic crustaceans (Ref. 1371).  Taxonomic problems to be solved.","Occurs in shallow coastal waters (Ref. 1371).  Enters rivers and may go considerable distances upstream, but usually remaining within regions of tidal influence (Ref. 1371, 27547).  Adults exhibit seasonal movements:  inshore during winter for purposes of spawning and offshore during summer for feeding (Ref. 1371).  Juveniles and adults are opportunistic epibenthic feeders; juveniles feed on fish and small benthic crustaceans (Ref. 1371).",4.195205479,14.7260274,62.41438356,0,16.35273973,0.171232877,0,0.256849315,0,0.085616438,1.626712329,0.085616438,0.085616438,0,
Gadus chalcogrammus,Gadidae,Gadiformes,Gadus chalcogrammus,demersal,30,950,91,TL,hunting macrofauna (predator),,planktivore,fishbase,pelagic,terminal,emarginate,,demersal,-1.8,12,31.3,33.5,,USGS,none,581100,28,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,NA,"Pelagic species which employs different foraging styles under different food distributions (Ref. 30688). Feed mainly on krill. Also feed on zooplankton such as copepod, small shrimp, squid and small fish (Ref. 39882). Cannibalistic (Ref. 43846). Length range, (FL: 10 to 78.1 cm) of walleye pollock consumed  by Steller sea lions in Southeast Alaska between 1994 to 1999 (Ref. 53504).",6.607690507,11.87842306,70.34934523,0.892637879,6.210201086,3.20047516,0.497432881,0.078241452,0.048543967,0.065106026,0.104512304,0.034266329,0.02284422,0.010279899,
Gadus macrocephalus,Gadidae,Gadiformes,Gadus macrocephalus,demersal,10,875,120,TL,hunting macrofauna (predator),oceanodromous,generalist,fishbase,variable,terminal,emarginate,soft bottoms,demersal,-2.1,18,,,tolerant of estuary,Love 2011,none,3000000,25,schooling,"https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090, USGS","Found mainly along the continental shelf and upper slopes (Ref. 1371).  Form schools (Ref. 9988).  They appear to be indiscriminate predators upon dominant food organisms present (Ref. 1371).  Young probably feed on copepods and similar organisms (Ref. 27547).  Adults feed on fishes, octopi, and large benthic and benthopelagic crustaceans (Ref. 1371); also worms. Parasites of the species include sealworm (<i>Phocanema decipiens</i>) in flesh, copepod (<i>Lernaeocera branchialis</i>) on gills and cestode (<i>Pyramicocephalus phocarum</i>) in the intestine (Ref. 5951).  Marketed fresh and frozen for human consumption (Ref. 2850), and also dried or salted and smoked (Ref. 9988).  Eaten steamed, fried, broiled, boiled, micro-waved and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166).  Minimum depth from Ref. 054440.",Found mainly along the continental shelf and upper slopes (Ref. 1371). A carnivore (Ref. 9137).,18.42285885,39.75778375,20.26957127,0.030339202,15.33621804,0.122848901,2.235651049,1.524420571,0.012931463,0.552074008,1.530886303,0.095991246,0.094996518,0.013428827,
Microgadus proximus,Gadidae,Gadiformes,Microgadus proximus,demersal,25,260,37,TL,hunting macrofauna (predator),oceanodromous,generalist,fishbase,variable,terminal,truncate,sandy bottoms,demersal,1.4,18,,,wide salinity tolerance,Love 2011,,,,schooling,Love 2011,"Generally found over sand (Ref. 1371).  May enter brackish water (Ref. 1371).  Young move into shallow waters in summer and fall, whereas adults usually stay in deeper waters (Ref. 28499).  Feeds on shrimps, amphipods, isopods, gastropods, mussels and fishes (Ref. 1371).  An important prey species (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Blepsias bilobus,Hemitripteridae,Scorpaeniformes,Blepsias bilobus,demersal,0,190,27,TL,NA,,generalist,Beukhof et al. 2019,pelagic,terminal,truncate,rocky bottoms,demersal,-0.25,11.4,,,,USGS,,,,,,Found near shore (Ref. 2850); often well above the bottom (Ref. 48798).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hemitripterus bolini,Hemitripteridae,Scorpaeniformes,Hemitripterus bolini,demersal,25,925,73.4,TL,hunting macrofauna (predator),,piscivore,NOAA,,terminal,rounded,soft bottoms,benthic,-0.2,8.5,,,,Love 2011,,,,,,Occurs offshore (Ref. 2850).,NA,82.10526316,10,0,0,0.526315789,0,0.526315789,1.052631579,0,4.210526316,0.526315789,1.052631579,0,0,
Nautichthys pribilovius,Hemitripteridae,Scorpaeniformes,Nautichthys pribilovius,demersal,0,422,10,TL,hunting macrofauna (predator),,invertivore,USGS,,terminal,truncate,,benthic,-1.7,11.4,,,slightly estuarine,USGS,,50,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hexagrammos decagrammus,Hexagrammidae,Scorpaeniformes,Hexagrammos decagrammus,demersal,0,46,53,TL,hunting macrofauna (predator),,generalist,fishbase,benthic,terminal,truncate,rocky bottoms,benthic,,,,,,,,125000,25,solitary,Love 2011,"Occurs in rocky inshore areas, common on kelp beds, also on sand bottoms (Ref. 2850).  Feeds on crustaceans, polychaete worms, brittle stars, mollusks, and small fishes (Ref. 28499).  Young are food of steelheads and salmon (Ref. 6885).  Frequently caught by shore and skiff fishers and speared by divers (Ref. 2850).",NA,12.05673759,51.77304965,5.673758865,0,18.43971631,0,2.836879433,4.964539007,0,2.127659574,0,1.418439716,0.709219858,0,
Hexagrammos stelleri,Hexagrammidae,Scorpaeniformes,Hexagrammos stelleri,demersal,0,175,48,TL,variable,,generalist,fishbase,benthic,terminal,truncate,rocky bottoms,demersal,-1.5,11.7,,,estuarine,Love 2011,,12397,6,solitary,"Mecklenburg et al 2018, Love 2011","Ranges from the intertidal zone to 175 m depth, possibly to 475 m (Ref. 6793).  Found near rocks, pilings and eelgrass beds (Ref. 2850).  Feed on worms, crustaceans, and small fishes (Ref. 6885).  Neither anterolateral glandular groove nor venom gland is present (Ref. 37773).",Feeds on fish and zoobenthos (Ref. 6885).,13.93442623,19.67213115,43.44262295,0,15.57377049,0,0,0.819672131,0,0,0,4.098360656,2.459016393,0,
Ophiodon elongatus,Hexagrammidae,Scorpaeniformes,Ophiodon elongatus,demersal,0,475,152,TL,hunting macrofauna (predator),oceano-estuarine,piscivore,NOAA,variable,terminal,truncate,rocky bottoms,benthic,,,,,,,,490000,33,solitary,"Blake et al. supp mat, Love 2011","Ranges from the intertidal to 475 m depth (Ref. 6793).  Adults are found near rocks, inshore and to 427 m (Ref. 2850).  Young occur on sand or mud bottom of bays and inshore areas (Ref. 2850).  Both migratory and non-migratory populations exist (Ref. 6885).  Adults feed mostly on other fishes but also take crustaceans, octopi and squid (Ref. 4925).  Young feed on copepods and other small crustaceans (Ref. 6885).  A very important sport and commercial species (Ref. 2850).  The liver is rich in vitamin A (Ref. 6885).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Has sharp teeth and gill rakers that can cut fingers if handled.","A voracious carnivore; feeds on fishes, crustaceans, octopi and squids (Ref. 2850, 48751).",86.2745098,1.960784314,1.307189542,0,0.653594771,0,8.496732026,0,0,0,0.653594771,0.653594771,0,0,
Pleurogrammus monopterygius,Hexagrammidae,Scorpaeniformes,Pleurogrammus monopterygius,demersal,0,575,60,TL,hunting macrofauna (predator),,invertivore,NOAA,,terminal,forked,rocky bottoms,demersal,2,8.7,,,,Love 2011,,100000,14,schooling,Blake et al. supp mat,"This species is found at the demersal zone and near surface over reefs and hard bottoms from intertidal zone to about 2.360 ft (719.8 m).  It is preyed upon by other fishes, sea birds and marine mammals (Ref 114183).",NA,2.782519631,3.678729942,65.80744281,2.714236941,6.486855582,8.245134858,4.233526801,4.916353704,0.119494708,0.008535336,0.093888699,0.392625469,0.486514169,0.034141345,
Icosteus aenigmaticus,Icosteidae,Perciformes,Icosteus aenigmaticus,bathypelagic,0,1420,213,TL,hunting macrofauna (predator),,generalist,fishbase,pelagic,terminal,truncate,pelagic,demersal,,,,,,,,,,,,"Adults occur near bottom; juveniles in shallow water or offshore near the surface (Ref. 50277). Feeds on jellyfish (Ref. 50277), fishes and squids (Ref. 2850), as well as octopuses (Ref. 4525).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Careproctus furcellus,Liparidae,Scorpaeniformes,Careproctus furcellus,bathydemersal,98,1270,54,TL,NA,,invertivore,Beukhof et al. 2019,benthic,inferior,truncate,,benthic,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Careproctus melanurus,Liparidae,Scorpaeniformes,Careproctus melanurus,bathydemersal,89,2286,54,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,terminal,rounded,mud bottoms,benthic,5.1,7,,,,Love 2011,,534,,,Love 2011,"Found on mud bottoms (Ref. 2850).  Possibly the most commonly captured liparid below 200 m; captured frequently by fishers (Ref. 26773).  Known to feed on polychaete worms, small crustaceans, tiny clams and other invertebrates (Ref. 4525).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Careproctus rastrinus,Liparidae,Scorpaeniformes,Careproctus rastrinus,bathydemersal,55,913,51,TL,NA,,invertivore,NOAA,variable,inferior,rounded,soft bottoms,,,,,,,,,,,,,NA,NA,3.125,0,67.1875,0,12.5,0,0,6.25,10.9375,0,0,0,0,0,
Crystallichthys cyclospilus,Liparidae,Scorpaeniformes,Crystallichthys cyclospilus,demersal,54,265,28,TL,NA,,invertivore,Beukhof et al. 2019,benthic,inferior,truncate,sandy mud bottoms,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Liparis fabricii,Liparidae,Scorpaeniformes,Liparis fabricii,bathydemersal,6,1880,21,TL,hunting macrofauna (predator),,invertivore,fishbase,variable,inferior,rounded,mud bottoms,demersal,-1.8,11,30,34,estuarine,"Coad et al. 2018, USGS",,600,6,,"mecklenburg, Beukhof et al. 2019","Inhabits mud bottoms (Ref. 5951).  Epibenthic (Ref. 58426).  Maximum depth reported at 1800 m (Ref. 58426) and 2,500 m (Ref. .  Feeds on benthic and pelagic crustaceans (Ref. 4702), and worms (Ref. 58426).","Epibenthic (Ref. 58426).  Feeds on benthic, pelagic crustaceans (Ref. 4702), and worms (Ref. 58426).  It is preyed upon by Atlantic cod, tern, seal and murres (Ref. 5951).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Liparis gibbus,Liparidae,Scorpaeniformes,Liparis gibbus,demersal,0,647,52,TL,hunting macrofauna (predator),,generalist,NOAA,variable,terminal,rounded,rocky bottoms,benthic,-1.85,10.5,,,,"Coad et al. 2018, USGS",,12000,13,,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic species.  Feeds on crustaceans (Ref. 58426), such as amphipods and crabs (Ref. 5951).","Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic; feeds on crustaceans (Ref. 58426).  Actively feeds above the substrate, in the vicinity of plants (Ref. 46872).  It is preyed upon by Atlantic cod.  Parasite of the species is known to be a trypanosome, <i>Trypanosoma murmanensis</i> (Ref. 5951).",10.06493506,35.38961039,47.72727273,0,4.87012987,0,0,0.324675325,0,0,1.623376623,0,0,0,
Liparis marmoratus,Liparidae,Scorpaeniformes,Liparis marmoratus,demersal,96,165,8,TL,NA,,generalist,Beukhof et al. 2019,,inferior,rounded,,,,0,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Liparis tunicatus,Liparidae,Scorpaeniformes,Liparis tunicatus,demersal,0,150,16,TL,hunting macrofauna (predator),,generalist,NOAA,benthic,inferior,rounded,rocky bottoms,benthic,-1.9,2.8,32.4,33.5,,USGS,,,,,,"Commonly lives in large clusters of kelp (Ref. 7251).  It prefers bottom types like pebbles, stones or boulders, mud and sand (Ref. 5951).  Benthic species.  Feeds on crustaceans (Ref. 58426); especially amphipods (Ref. 5951).","Commonly lives in large clusters of kelp (Ref. 7251).  Benthic; feeds on crustaceans (Ref. 58426).  It is preyed upon by seals, harp and grey seals.  Parasite found from the gills was a copepod, <i>Haemobaphes cyclopterina</i> (Ref. 5951).",0,0,75,0,25,0,0,0,0,0,0,0,0,0,
Albatrossia pectoralis,Macrouridae,Gadiformes,Albatrossia pectoralis,bathydemersal,140,2189,210,TL,variable,non-migratory,generalist,NOAA,,inferior,rounded,,demersal,0,8.7,,,,Love 2011,,29976,56,,"Blake et al. supp mat, Beukhof et al. 2019","Young apparently bathypelagic to some degree but become bathydemersal at a size of 50-60 cm (Ref. 1371).  Adults feed mainly on cephalopods, fish and shrimps; other food items include ctenophores, echinoderms, worms, crabs, and amphipods (Ref. 1371).  Oviparous, with planktonic larvae (Ref. 36385).","Feeds on fish, squids, crustaceans, echinoderms, and other invertebrates (Ref. 1371).",20.17467249,10.13100437,25.85152838,0,1.310043668,0.262008734,39.56331878,0,1.659388646,0.087336245,0,0.96069869,0,0,
Coryphaenoides acrolepis,Macrouridae,Gadiformes,Coryphaenoides acrolepis,bathydemersal,600,2500,104,TL,hunting macrofauna (predator),non-migratory,generalist,NOAA,variable,inferior,pointed,,demersal,1,18,,,,Love 2011,,367000,73,,Beukhof et al. 2019,"A benthopelagic mid-slope species, that appears to wander off slope bottoms into midwater (Ref. 1371).  Adults feed on small fish, euphausiids, prawns, amphipods and cephalopods (Ref. 1371).  Oviparous, with planktonic larvae (Ref. 36385).","Feeds on fish, cephalopods and crustaceans (Ref. 1371).",5.572755418,35.29411765,26.93498452,0,16.40866873,0,13.00309598,0,1.857585139,0,0.309597523,0.619195046,0,0,
Coryphaenoides cinereus,Macrouridae,Gadiformes,Coryphaenoides cinereus,bathydemersal,150,3500,66,TL,NA,non-migratory,invertivore,NOAA,pelagic,inferior,pointed,,,,,,,,,,,10,,Beukhof et al. 2019,Feeds mainly on pelagic forms (Ref. 1371).  Too small for fresh consumption (Ref. 1371).,Feeds mainly on pelagic forms (Ref. 1371).,0,17.20430108,64.51612903,0,10.75268817,0,5.376344086,0,2.150537634,0,0,0,0,0,
Coryphaenoides filifer,Macrouridae,Gadiformes,Coryphaenoides filifer,bathydemersal,1285,2904,55,TL,hunting macrofauna (predator),,piscivore,Beukhof et al. 2019,pelagic,inferior,pointed,,,,,,,,,,,,,,"Bathybenthic (Ref. 36385).  Oviparous, with planktonic larvae (Ref. 36385).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Coryphaenoides longifilis,Macrouridae,Gadiformes,Coryphaenoides longifilis,bathydemersal,700,2025,110,TL,hunting macrofauna (predator),non-migratory,,,,inferior,rounded,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Merluccius productus,Merlucciidae,Gadiformes,Merluccius productus,pelagic-neritic,0,914,91,TL,hunting macrofauna (predator),migratory,generalist,fishbase,pelagic,terminal,truncate,pelagic,pelagic,3.4,15,,,,Love 2011,,496000,20,schooling,"Val Kells et al. 2016, Blake et al. supp mat","Inhabit oceanic and coastal areas, but mainly on the continental shelf (Ref. 1371).  Although often classified as demersal, the distribution and behavior suggest a largely pelagic existence (Ref. 1371).  Adults live in large schools in waters overlying the continental shelf and slope except during the spawning season when they are found several hundred miles seaward (Ref. 1371).  A nocturnal feeder (Ref. 6885) that  feed on a variety of fishes and invertebrates (Ref. 1371).  Important prey for sea lions and small cetaceans (Ref. 2850); also prey of dogfish (Ref. 11384).",NA,19.56521739,18.47826087,47.82608696,0,0,0,14.13043478,0,0,0,0,0,0,0,
Antimora microlepis,Moridae,Gadiformes,Antimora microlepis,bathypelagic,175,3048,66,TL,hunting macrofauna (predator),,invertivore,fishbase,benthic,inferior,truncate,soft bottoms,demersal,2.4,5.1,,,,Love 2011,,,20,,"Beukhof et al. 2019, FroesePauly2018","Inhabits the lower regions of the continental slope between 800 m and 1, 800 m.  It appears that sex segregation is also basic to this species, but whether or not the species migrates extensively or uses the North American west coast slopes only as feeding areas is not known (Ref. 1371).  Benthopelagic (Ref. 58302).  Feeds on benthic invertebrates (Ref. 9319).  Taken frequently by deep slope water trawlers fishing for <i>Microstomus pacificus</i> and deepwater <i>Sebastes</i> species (Ref. 1371).","Inhabits the lower regions of the continental slope between 800 m and 1, 800 m. It appears that sex segregation is also basic to this species, but whether or not the species migrates extensively or uses the North American west coast slopes only as feeding areas is not known. Feeds on benthic invertebrates.",0,100,0,0,0,0,0,0,0,0,0,0,0,0,
Halargyreus johnsonii,Moridae,Gadiformes,Halargyreus johnsonii,bathypelagic,508,1500,56,TL,hunting macrofauna (predator),,generalist,fishbase,pelagic,terminal,forked,pelagic,pelagic,3.8,10.2,,,,,,,7,schooling,Coad et al. 2018,"Epibenthic (Ref. 58426).  Food consists of free-living small animals, such as crustaceans and squids.  This species is reportedly being caught by trawl in temperate waters of Australia (Ref. 9563).","Occurred in the 500-1250 m bathymetric zones but principally in the 750-1000 m zones (Ref. 34143).  Found on the continental slope (Ref. 75154).  Epibenthic (Ref. 58426).  Food consists of free-living small animals, such as crustaceans and squids.  This species is reportedly being caught by trawl in temperate waters of Australia (Ref. 9563).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Hypomesus olidus,Osmeridae,Osmeriformes,Hypomesus olidus,pelagic-neritic,10,NA,20,TL,selective plankton feeding,anadromous,planktivore,fishbase,variable,terminal,forked,pelagic,pelagic,,17,0,,,USGS,,33010,6,schooling,USGS,"Inhabits brackish water of estuaries, lagoons, coastal waters of open sea, freshwater of lowland and piedmont rivers and lakes (Ref. 59043). Found in the middle and surface waters of ponds, lakes, and streams over a variety of bottom types (Ref. 5723, 86798).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  The anadromous populations are pelagic at the sea, commonly at 4-5 m depth and spawn in rivers.  Landlocked populations may spawn in lakes or undertake migration to their tributaries.  Spawns along shallow river shores and in backwaters with little or no current, often in lakes, on sand or gravel bottom (Ref. 59043).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Only a few survive beyond age 3 (Ref. 27547).","Found in middle and surface water of ponds, lakes and streams, over a variety of bottom types (Ref. 5723).  Enters brackish water (Ref. 5723).  The species is basically anadromous, ascending rivers to spawn in spring (Ref. 33312).  Within a specific lake or pond, adults are generally found in inshore spawning areas in spring and early summer, later moving offshore (Ref. 27547).  Feeds on zooplankton, insects and algae (Ref. 28680, 28681).  Also consumes large quantities of benthos. Smelt diet changes with the season and diet varies with respect to current velocity, depth, temperature, salinity, sediment load, etc. (Ref. 9010).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Mallotus villosus,Osmeridae,Osmeriformes,Mallotus villosus,pelagic-oceanic,0,200,25.2,TL,selective plankton feeding,"anadromous, diel",planktivore,NOAA,pelagic,terminal,forked,pelagic,pelagic,-1,16,4,,,Coad et al. 2018,,30042,10,schooling,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426); however, reported at 1086 m Davis Strait to southern Baffin Bay (Ref. 120413). Adults feed on planktonic crustaceans, copepods, euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).  Mature individuals move inshore in large schools to spawn (Ref. 2850).  In the spring large spawning shoals migrate toward the coasts, males usually arrive first.  Often entering brackish and freshwater (Ref. 37812).  Semelparous (Ref. 51846).  Produces 6,000-12,000 adhesive eggs.  Females are valued for their roe, males are utilized as fishmeal.  Marketed canned and frozen; eaten fried  and dried (Ref. 9988).  Possibly to 725 m depth (Ref. 6793).","Oceanic species found in schools (Ref. 2850).  Nerito-pelagic (Ref. 58426).  Feeds on planktonic crustaceans, copepods (especially <i>Calanus</i> (Ref. 5951)), euphausiids, amphipods, marine worms, and small fishes (Ref. 6885, 35388).   Fish examined were non-spawning adults (Ref. 6885).  It is preyed upon by other fishes, birds and marine mammals; <i>Gadus morhua</i> (Atlantic cod) as their chief predator.  Parasites of the species include <i>Eubothrium parvum</i> (cestode), <i>Anisakis</i> sp. And <i>Contracaecum</i> sp. (nematodes) and <i>Glugea</i> sp. (protozoan) (Ref. 5951).",0.460829493,0.460829493,94.93087558,0,3.686635945,0.460829493,0,0,0,0,0,0,0,0,
Osmerus mordax,Osmeridae,Osmeriformes,Osmerus mordax,pelagic-oceanic,0,150,35.6,TL,hunting macrofauna (predator),anadromous,generalist,NOAA,pelagic,terminal,forked,pelagic,pelagic,-1.9,,,,,Coad et al. 2018,,,7,schooling,Beukhof et al. 2019,"Nerito-pelagic (Ref. 58426).  Inhabits cool clear lakes, medium to large rivers, and coastal waters (Ref. 86798).  A schooling species that occurs in midwater of lakes or inshore coastal waters (Ref. 1998); at temperatures ranging from 7.2-15.6¬?C.  Coastal population are anadromous (Ref, 86798).  Migrates up to 1,000 km upstream in rivers (Ref. 6793).  Occurs possibly to 425 m (Ref. 2851).  Feeds on invertebrates such as amphipods, ostracods, aquatic insect larvae and aquatic worms (Ref. 1998); food also include copepods, euphausiids, mysids and small fishes (silversides, mummichogs and herring) (Ref. 5951, 10294).  Headed, gutted, sold fresh, frozen and precooked.  Eaten saut?©ed and fried (Ref. 9988).","Sensitive to temperature and light. Do not inhabit flowing waters of streams and rivers except at spawning time. Exhibit pronounced post-spawning mortality (Ref. 1998).  Anadromous (Ref. 5951).  It is preyed upon by mergansers, cormorants, gulls, crows, Atlantic cod, Atlantic salmon, brook trout, seals, lake trout, burbot, walleye and perch.",7.782101167,6.225680934,75.48638132,0,9.727626459,0,0,0,0,0,0.778210117,0,0,0,
Thaleichthys pacificus,Osmeridae,Osmeriformes,Thaleichthys pacificus,pelagic-neritic,0,300,25.4,TL,filtering plankton,anadromous,planktivore,NOAA,pelagic,terminal,forked,pelagic,pelagic,,,,,,,,40000,5,,https://www.sciencedirect.com/science/article/pii/S0048969720344429?casa_token=6DTs95prF3gAAAAA:rlUxXUvX_uymmmNIercKOF4Mc2e9b1T9NM7-yhetTPAl9gGaAlH9v062WFori7YKufmrZcSzCAo#bb0090,"Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Excellent food fish and source of oil (15% body wt.). Anadromous (Ref. 96339).","Found near shore and in coastal inlets and rivers (Ref. 2850).  Possibly to 625 m depth (Ref. 6793).  Spends most of its life in the sea, returning to freshwater streams to spawn (Ref. 27547).  There is evidence of return to natal streams (Ref. 10276).  May migrate up to 160 km upstream.  Feeds on plankton and only while at sea (11699, 10276).  Ecotoxicology of this species has been studied by various authors indicating that it is a potential integrator of low-level contaminants (Ref. 7355 & 7469).",0,0,100,0,0,0,0,0,0,0,0,0,0,0,
