species,family,order,fishbase_name,column_pos,depth_min,depth_max,migration,length,length_type,diet,Comments,AddRems
Eleginus gracilis,Gadidae,Gadiformes,Eleginus gracilis,demersal,0,300,amphidromous,55,TL,variable,"Occurs in shallow coastal waters (Ref. 1371).  Enters rivers and may go considerable distances upstream, but usually remaining within regions of tidal influence (Ref. 1371, 27547).  Adults exhibit seasonal movements:  inshore during winter for purposes of spawning and offshore during summer for feeding (Ref. 1371).  Juveniles and adults are opportunistic epibenthic feeders; juveniles feed on fish and small benthic crustaceans (Ref. 1371).  Taxonomic problems to be solved.","Occurs in shallow coastal waters (Ref. 1371).  Enters rivers and may go considerable distances upstream, but usually remaining within regions of tidal influence (Ref. 1371, 27547).  Adults exhibit seasonal movements:  inshore during winter for purposes of spawning and offshore during summer for feeding (Ref. 1371).  Juveniles and adults are opportunistic epibenthic feeders; juveniles feed on fish and small benthic crustaceans (Ref. 1371)."
Gadus chalcogrammus,Gadidae,Gadiformes,Gadus chalcogrammus,NA,NA,NA,NA,NA,NA,hunting macrofauna (predator),NA,"Pelagic species which employs different foraging styles under different food distributions (Ref. 30688). Feed mainly on krill. Also feed on zooplankton such as copepod, small shrimp, squid and small fish (Ref. 39882). Cannibalistic (Ref. 43846). Length range, (FL: 10 to 78.1 cm) of walleye pollock consumed  by Steller sea lions in Southeast Alaska between 1994 to 1999 (Ref. 53504)."
Gadus macrocephalus,Gadidae,Gadiformes,Gadus macrocephalus,demersal,10,1280,oceanodromous,119,TL,hunting macrofauna (predator),"Found mainly along the continental shelf and upper slopes (Ref. 1371).  Form schools (Ref. 9988).  They appear to be indiscriminate predators upon dominant food organisms present (Ref. 1371).  Young probably feed on copepods and similar organisms (Ref. 27547).  Adults feed on fishes, octopi, and large benthic and benthopelagic crustaceans (Ref. 1371); also worms. Parasites of the species include sealworm (<i>Phocanema decipiens</i>) in flesh, copepod (<i>Lernaeocera branchialis</i>) on gills and cestode (<i>Pyramicocephalus phocarum</i>) in the intestine (Ref. 5951).  Marketed fresh and frozen for human consumption (Ref. 2850), and also dried or salted and smoked (Ref. 9988).  Eaten steamed, fried, broiled, boiled, micro-waved and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166).  Minimum depth from Ref. 054440.",Found mainly along the continental shelf and upper slopes (Ref. 1371). A carnivore (Ref. 9137).
Gadus macrocephalus,Gadidae,Gadiformes,Gadus macrocephalus,demersal,10,1280,oceanodromous,119,TL,hunting macrofauna (predator),"Found mainly along the continental shelf and upper slopes (Ref. 1371).  Form schools (Ref. 9988).  They appear to be indiscriminate predators upon dominant food organisms present (Ref. 1371).  Young probably feed on copepods and similar organisms (Ref. 27547).  Adults feed on fishes, octopi, and large benthic and benthopelagic crustaceans (Ref. 1371); also worms. Parasites of the species include sealworm (<i>Phocanema decipiens</i>) in flesh, copepod (<i>Lernaeocera branchialis</i>) on gills and cestode (<i>Pyramicocephalus phocarum</i>) in the intestine (Ref. 5951).  Marketed fresh and frozen for human consumption (Ref. 2850), and also dried or salted and smoked (Ref. 9988).  Eaten steamed, fried, broiled, boiled, micro-waved and baked (Ref. 9988).  Used in Chinese medicine (Ref. 12166).  Minimum depth from Ref. 054440.","Non-schooling (Ref. 28073). Lives close to the coast and is rarely found offshore, in deeper water (Ref. 1371). Benthic (Ref. 58426). Feeds on fishes, shrimps, crabs, euphausiids, squids, polychaetes, and echinoderms. There is probably competition between this species and Gadus morhua (Ref. 1371). Parasites of the species include sealworm (Phocanema decipiens) in flesh, copepod (Lernaeocera branchialis) on gills and cestode (Pyramicocephalus phocarum) in the intestine (Ref. 5951)."
Microgadus proximus,Gadidae,Gadiformes,Microgadus proximus,demersal,0,275,oceanodromous,30.5,SL,hunting macrofauna (predator),"Generally found over sand (Ref. 1371).  May enter brackish water (Ref. 1371).  Young move into shallow waters in summer and fall, whereas adults usually stay in deeper waters (Ref. 28499).  Feeds on shrimps, amphipods, isopods, gastropods, mussels and fishes (Ref. 1371).  An important prey species (Ref. 2850).",NA
Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,Gasterosteus aculeatus,benthopelagic,0,100,anadromous,11,TL,hunting macrofauna (predator),"Adults occur in fresh waters, estuaries and coastal seas (Ref. 4119).  Anadromous, with numerous non-anadromous populations in brackish or pure freshwater, rarely in marine waters.  In the sea, confined to coastal waters.  In freshwater, adults prefer to live in small stream but may occur in a variety of habitats including lakes and large rivers (Ref. 59043).  Inhabit shallow vegetated areas, usually over mud or sand (Ref. 5723).  Form schools.  Young associated with drifting seaweed (Ref. 12114, 12115).  Juveniles move to the sea (anadromous populations) or to deeper, larger water bodies (freshwater populations) in July-August, forming large feeding schools (Ref. 59043).  Feed on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Maximum length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Occasionally taken commercially in Scandinavia and processed into fishmeal and oil (Ref. 28219, 28964).  Commonly used as a laboratory animal (Ref. 1998).  A large bibliography is available at www.geocities.com/CapeCanaveral/Hall/1345/stickbibl.html.","Shoaling species outside the breeding season, especially when young.  Inhabits vegetated areas, usually over mud or sand (Ref. 5723).  In the sea, confined to coastal waters.  Forms schools.  Eggs are found in nests constructed from plant material (Ref. 41678).  Anadromous and nerito-pelagic (Ref. 58426).  Feeds on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Preyed upon by American mergansers."
Pungitius pungitius,Gasterosteidae,Gasterosteiformes,Pungitius pungitius,benthopelagic,0,110,anadromous,9,TL,hunting macrofauna (predator),"Found in shallow vegetated areas of lakes, ponds, and pools of sluggish streams; sometimes in open water over sand (Ref. 5723).  Marine populations found near shore and move into fresh water to spawn (Ref. 5723).  There appears to be seasonal movements inshore to shallow water in the spring for spawning, and, in the fall, offshore to deep water, or even to the less saline parts of the sea, by the young and adults that survive spawning (Ref. 27547).  Nerito-pelagic (Ref. 58426).  Feed on small invertebrates; also on aquatic insects and their  eggs and larvae (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Females grow faster and live longer than do other males (Ref. 27547).  Males seldom live beyond age three, due to heavy post-spawning mortality, but females may live to age five or more (Ref. 27547).  When abundant, it is preyed upon by other fishes (Ref. 1998); also preyed by birds (Ref. 27547).  May be used as human or dog food or as a source of oil (Ref. 27547).","Found in shallow vegetated areas of lakes, ponds, and pools of sluggish streams; sometimes in open water over sand (Ref. 5723).  Marine populations found near shore and move into freshwater to spawn (Ref. 5723).  There appears to be seasonal movements inshore to shallow water in the spring for spawning, and, in the fall, offshore to deep water, or even to the less saline parts of the sea, by the young and adults that survive spawning (Ref. 27547).  Nerito-pelagic (Ref. 58426).  Feeds on small invertebrates; also on aquatic insects and their  eggs and larvae (Ref. 1998). During breeding season, the eggs and larvae are consumed as food (Ref. 1998).  It is preyed upon by fish-eating birds, kingfishers and mergansers; fishes such as walleye, brook trout, lake trout, yellow perch and burbot.  Parasites of the species include 3 protozoans, 3 myxosporidians, 3 monogeneans, 8 trematodes, 5 cestodes, 6 acanthocephalans, 2 molluscs, 1 branchiuran and 2 copepods (Ref. 5951)."
Gigantactis microdontis,Gigantactinidae,Lophiiformes,Gigantactis microdontis,bathypelagic,700,915,NA,NA,NA,NA,Known from 8 specimens (Ref. 41361).,NA
Gigantactis vanhoeffeni,Gigantactinidae,Lophiiformes,Gigantactis vanhoeffeni,bathypelagic,300,5300,NA,NA,NA,NA,Rarely caught (Ref. 559).,NA
Gigantura indica,Giganturidae,Aulopiformes,Gigantura indica,bathypelagic,17,2100,NA,20.299999237060547,SL,NA,Meso- and bathypelagic (Ref. 58302).  The species is rare.  Inhabits deep water.  Famous for its bizarre shape and unusual eyes.,NA
Cyclothone acclinidens,Gonostomatidae,Stomiiformes,Cyclothone acclinidens,bathypelagic,0,4416,oceanodromous,6.300000190734863,SL,selective plankton feeding,"Oceanic, deep-mesopelagic (Ref. 4769, 58302) and bathypelagic (Ref. 58302).  Usually vertically oriented during the day (Ref. 4769).  Nocturnal feeder (Ref. 9186) on copepods (Ref. 4769).  Oviparous, with planktonic eggs and larvae (Ref. 35800).",NA
Cyclothone atraria,Gonostomatidae,Stomiiformes,Cyclothone atraria,bathypelagic,298,4938,NA,6.199999809265137,SL,NA,"Meso- to bathypelagic (Ref. 58302).  Inhabits deep water and is only captured with special equipment.  Lipid content is 4.0 % in fresh body weight  and wax ester is 58.4 % in total lipid (Ref. 9193).  Protandrous hermaphrodite, oviparous with planktonic eggs and larvae (Ref. 35800).",NA
Cyclothone pseudopallida,Gonostomatidae,Stomiiformes,Cyclothone pseudopallida,bathypelagic,0,4938,NA,4.599999904632568,SL,NA,"Meso- to bathypelagic (Ref. 58302).  Oceanic, precise depth range dependent upon developmental stage, latitude, season (Ref. 4769).  No apparent vertical migration observed (Ref. 4463).  Lipid content is 4.3 % in fresh body weight and wax ester is 53.5 % in total lipids (Ref. 9193).  Oviparous, with planktonic eggs and larvae (Ref. 35800).  Minimum depth from Ref. 58018.","Oceanic, precise depth range dependent upon developmental stage, latitude, season (Ref. 4769).  No apparent vertical migration observed (Ref. 4463).  Feeds primarily on calanoid copepods (Ref. 51904)."
Cyclothone signata,Gonostomatidae,Stomiiformes,Cyclothone signata,bathypelagic,16,4938,NA,3,TL,selective plankton feeding,"Epipelagic and mesopelagic species, usually in upper 800 m depth with abundance maximum in upper 100 and 400-500 m (Ref. 35800).  Bathypelagic (Ref. 58302).  Oviparous, with planktonic eggs and larvae (Ref. 35800).","Epipelagic and mesopelagic species, usually in upper 800 m depth with abundance maximum in upper 100 and 400-500 m (Ref. 35800)."
Sigmops gracilis,Gonostomatidae,Stomiiformes,Sigmops gracilis,bathypelagic,0,4389,NA,13.31999969482422,SL,NA,"Mesopelagic, nonmigratory at 200-1000 m (Ref. 58302).  Migrates towards surface at night (Ref. 43939).  Larvae and juveniles in upper 200 m (Ref. 43939). Minimum  depth from Ref. 43939.",NA
Blepsias bilobus,Hemitripteridae,Scorpaeniformes,Blepsias bilobus,demersal,0,250,NA,25,SL,NA,Found near shore (Ref. 2850); often well above the bottom (Ref. 48798).,NA
Blepsias cirrhosus,Hemitripteridae,Scorpaeniformes,Blepsias cirrhosus,demersal,0,150,NA,20,SL,variable,"Occurs in intertidal areas and to 37 m depth, but more common in subtidal areas (Ref. 2850).  Often found among algae (Ref. 2850).  Adults inject eggs into the tissue near the gastral cavity of a sponge to use as a spawning bed (Ref. 34818).",NA
Hemitripterus bolini,Hemitripteridae,Scorpaeniformes,Hemitripterus bolini,demersal,25,925,NA,73,TL,hunting macrofauna (predator),Occurs offshore (Ref. 2850).,NA
Hemitripterus villosus,Hemitripteridae,Scorpaeniformes,Hemitripterus villosus,demersal,0,550,NA,35,SL,hunting macrofauna (predator),NA,The principal food at 10-16 cm length are mysids and shrimp. Becomes primarily piscivorous at lengths of 16-18 cm in the second year of life (Ref. 41408).
Nautichthys oculofasciatus,Hemitripteridae,Scorpaeniformes,Nautichthys oculofasciatus,demersal,NA,110,NA,20,TL,hunting macrofauna (predator),"Occurs inshore and to 110 m depth, mostly on rocky bottoms and areas with algae (Ref. 2850).  Nocturnal (Ref. 6885).  May be found upside down against roofs of crevices (Ref. 6885).  Swims with its dorsal fin extended in front of its head (Ref. 6885).  Eggs deposited in late winter or spring (Ref. 6885).",NA
Nautichthys pribilovius,Hemitripteridae,Scorpaeniformes,Nautichthys pribilovius,demersal,0,422,NA,9,TL,hunting macrofauna (predator),NA,NA
Nautichthys robustus,Hemitripteridae,Scorpaeniformes,Nautichthys robustus,demersal,0,73,NA,8,TL,NA,"Occurs near shore and to 73 m depth, on sand and rock bottoms and shallow exposed areas (Ref. 2850).",NA
Hexagrammos decagrammus,Hexagrammidae,Scorpaeniformes,Hexagrammos decagrammus,demersal,NA,46,NA,61,TL,hunting macrofauna (predator),"Occurs in rocky inshore areas, common on kelp beds, also on sand bottoms (Ref. 2850).  Feeds on crustaceans, polychaete worms, brittle stars, mollusks, and small fishes (Ref. 28499).  Young are food of steelheads and salmon (Ref. 6885).  Frequently caught by shore and skiff fishers and speared by divers (Ref. 2850).",NA
Hexagrammos lagocephalus,Hexagrammidae,Scorpaeniformes,Hexagrammos lagocephalus,demersal,0,596,NA,61,TL,hunting macrofauna (predator),"Commonly found in shallow rocky areas, especially on exposed coasts (Ref. 2850).  Often captured by shore fishers (Ref. 2850).","Commonly found in shallow rocky areas, especially on exposed coasts (Ref. 2850).  Often captured by shore fishers (Ref. 2850)."
Hexagrammos octogrammus,Hexagrammidae,Scorpaeniformes,Hexagrammos octogrammus,demersal,0,200,NA,42,TL,NA,Found in shallow rocky areas (Ref. 2850).  Caught by anglers (Ref. 559).,NA
Hexagrammos stelleri,Hexagrammidae,Scorpaeniformes,Hexagrammos stelleri,demersal,0,300,NA,48,TL,variable,"Ranges from the intertidal zone to 175 m depth, possibly to 475 m (Ref. 6793).  Found near rocks, pilings and eelgrass beds (Ref. 2850).  Feed on worms, crustaceans, and small fishes (Ref. 6885).  Neither anterolateral glandular groove nor venom gland is present (Ref. 37773).",Feeds on fish and zoobenthos (Ref. 6885).
Ophiodon elongatus,Hexagrammidae,Scorpaeniformes,Ophiodon elongatus,demersal,0,475,oceano-estuarine,152,TL,hunting macrofauna (predator),"Ranges from the intertidal to 475 m depth (Ref. 6793).  Adults are found near rocks, inshore and to 427 m (Ref. 2850).  Young occur on sand or mud bottom of bays and inshore areas (Ref. 2850).  Both migratory and non-migratory populations exist (Ref. 6885).  Adults feed mostly on other fishes but also take crustaceans, octopi and squid (Ref. 4925).  Young feed on copepods and other small crustaceans (Ref. 6885).  A very important sport and commercial species (Ref. 2850).  The liver is rich in vitamin A (Ref. 6885).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Has sharp teeth and gill rakers that can cut fingers if handled.","A voracious carnivore; feeds on fishes, crustaceans, octopi and squids (Ref. 2850, 48751)."
Oxylebius pictus,Hexagrammidae,Scorpaeniformes,Oxylebius pictus,demersal,0,49,NA,25,TL,hunting macrofauna (predator),"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406).",NA
Pleurogrammus monopterygius,Hexagrammidae,Scorpaeniformes,Pleurogrammus monopterygius,demersal,0,720,NA,56.5,TL,hunting macrofauna (predator),"This species is found at the demersal zone and near surface over reefs and hard bottoms from intertidal zone to about 2.360 ft (719.8 m).  It is preyed upon by other fishes, sea birds and marine mammals (Ref 114183).",NA
Zaniolepis frenata,Hexagrammidae,Scorpaeniformes,Zaniolepis frenata,demersal,4,450,NA,25,TL,selective plankton feeding,"Mostly found on mud bottom from 55-244 m depth.  Polychaete worms appear to be the preferred food, but euphausiids, amphipods, and fish eggs have been found in their stomachs (Ref. 4525).",NA
Zaniolepis latipinnis,Hexagrammidae,Scorpaeniformes,Zaniolepis latipinnis,demersal,37,201,NA,30,TL,hunting macrofauna (predator),Feeds on crustaceans (Ref. 4925).,Mysidacea found the most abundant food organisms (Ref. 50692).
Howella brodiei,Howellidae,Perciformes,Howella brodiei,bathypelagic,100,1829,oceanodromous,7.900000095367432,TL,NA,"Inhabits the open ocean.  Spends the day in midwater from 305-1,829 m depth and migrates near surface at night (Ref. 2850).  Mesopelagic (Ref. 75154).",NA
Howella sherborni,Howellidae,Perciformes,Howella sherborni,bathypelagic,26,950,NA,8,TL,NA,Feed on pelagic crustaceans (Ref. 58748).,Feed on pelagic crustaceans (Ref. 58748).
Icosteus aenigmaticus,Icosteidae,Perciformes,Icosteus aenigmaticus,bathypelagic,0,1420,NA,213,TL,hunting macrofauna (predator),"Adults occur near bottom; juveniles in shallow water or offshore near the surface (Ref. 50277). Feeds on jellyfish (Ref. 50277), fishes and squids (Ref. 2850), as well as octopuses (Ref. 4525).",NA
Medialuna californiensis,Kyphosidae,Perciformes,Medialuna californiensis,demersal,0,40,NA,48,TL,grazing on aquatic plants,Often occur in rocky areas and in kelp beds.  Found from inshore areas to 40 m depth.  Feed on seaweed and small invertebrates.  Pelagic spawner (Ref. 56049).  Also caught with harpoons.  The flesh is of excellent quality and is marketed fresh (Ref. 9310).,Often occurs in rocky areas and in kelp beds. Found from inshore areas to 40 m depth. Feeds on seaweed and small invertebrates (Ref. 2850).
Lampris guttatus,Lamprididae,Lampridiformes,Lampris guttatus,bathypelagic,0,500,oceanodromous,200,TL,hunting macrofauna (predator),"Oceanic and apparently solitary (Ref. 6737).  Epi- and mesopelagic (Ref. 58302).  Feeds on midwater fishes and invertebrates, mainly squids (Ref. 6737).  Probably spawns in the spring (Ref. 6885).  Occasionally taken as a by-catch of tuna fisheries.  Considered a good food fish (Ref. 5242); marketed fresh and frozen; prepared as sashimi (Ref. 9987).  Swims by flapping the pectoral fins (Ref. 36731).",Occurs in inshore waters (Ref. 75154).
Acantholiparis opercularis,Liparidae,Scorpaeniformes,Acantholiparis opercularis,bathydemersal,227,3610,NA,6.900000095367432,SL,NA,Minimum depth reported at 227 m (Ref. 51661).,NA
Allocareproctus jordani,Liparidae,Scorpaeniformes,Allocareproctus jordani,bathydemersal,75,631,NA,34,TL,NA,"Smallest female with yolked eggs measured 10.5. cm SL; smallest male with enlarged, swollen testes 7.45 cm SL (Ref. 57077).",NA
Allocareproctus kallaion,Liparidae,Scorpaeniformes,Allocareproctus kallaion,bathydemersal,278,458,NA,19.5,SL,NA,"Smallest female with yolked eggs measured 16.2 cm SL; smallest male with enlarged, swollen testes 12.4 cm SL (Ref. 57077).",NA
Allocareproctus tanix,Liparidae,Scorpaeniformes,Allocareproctus tanix,bathydemersal,104,620,NA,NA,NA,NA,"Smallest female with yolked eggs measured 7.76 cm SL; smallest male with enlarged, swollen testes 6.38 cm SL (Ref. 57077).",NA
Allocareproctus unangas,Liparidae,Scorpaeniformes,Allocareproctus unangas,bathydemersal,210,465,NA,NA,NA,NA,"Smallest female with yolked eggs measured 9.1 cm SL; smallest male with enlarged, swollen testes 7.67 cm SL.  Eggs were collected from the octocoral <i>Primnoa</i> sp. from Seguam Pass, with eggs of another liparid (Ref. 57077).",NA
Allocareproctus ungak,Liparidae,Scorpaeniformes,Allocareproctus ungak,bathydemersal,318,461,NA,12.93000030517578,SL,NA,"Smallest female with yolked eggs measured 8.5 cm SL; smallest male with enlarged, swollen testes 9.5 cm SL (Ref. 57077).",NA
Careproctus abbreviatus,Liparidae,Scorpaeniformes,Careproctus abbreviatus,bathydemersal,325,1143,NA,NA,NA,NA,NA,NA
Careproctus bowersianus,Liparidae,Scorpaeniformes,Careproctus bowersianus,bathydemersal,629,800,NA,NA,NA,NA,Maximum depth reported at 800 m (Ref. 12700).,NA
Careproctus candidus,Liparidae,Scorpaeniformes,Temnocora candida,bathydemersal,64,400,NA,10.600000381469728,SL,NA,"Found on sand, pebble, and rocky bottoms (Ref. 43939).",NA
Careproctus canus,Liparidae,Scorpaeniformes,Careproctus canus,bathydemersal,244,434,NA,15.899999618530272,SL,NA,NA,NA
Careproctus colletti,Liparidae,Scorpaeniformes,Careproctus colletti,bathydemersal,64,1350,NA,44,TL,NA,Found on mud and sand bottoms (Ref. 43939).,Found on mud and sand bottoms (Ref. 43939).
Careproctus comus,Liparidae,Scorpaeniformes,Careproctus comus,demersal,189,400,NA,9.859999656677246,SL,NA,NA,NA
Careproctus curilanus,Liparidae,Scorpaeniformes,Careproctus curilanus,bathydemersal,NA,419,NA,6.400000095367432,SL,NA,Minimum depth from Ref. 58018.,NA
Careproctus cypselurus,Liparidae,Scorpaeniformes,Careproctus cypselurus,bathydemersal,35,1775,NA,32.29999923706055,SL,NA,NA,NA
Careproctus ectenes,Liparidae,Scorpaeniformes,Careproctus ectenes,bathydemersal,494,641,NA,NA,NA,NA,NA,NA
Careproctus faunus,Liparidae,Scorpaeniformes,Careproctus faunus,demersal,120,422,NA,10.1899995803833,SL,NA,NA,NA
Careproctus furcellus,Liparidae,Scorpaeniformes,Careproctus furcellus,bathydemersal,98,1270,NA,54,SL,NA,NA,NA
Careproctus gilberti,Liparidae,Scorpaeniformes,Careproctus gilberti,bathydemersal,73,886,NA,8.899999618530273,TL,NA,Rare deepwater species (Ref. 6885).,NA
Careproctus lerikimae,Liparidae,Scorpaeniformes,Careproctus lerikimae,bathydemersal,NA,NA,NA,NA,NA,NA,NA,NA
Careproctus lycopersicus,Liparidae,Scorpaeniformes,Careproctus lycopersicus,benthopelagic,397,1157,NA,13.300000190734863,TL,NA,"One 11.6 cm TL ripe male and female specimens were examined:  the smallest female with yolked eggs was 14.9 cm (UW 119817).  For the ripe females, at least two sizes of eggs were present, yolked eggs were 3.5 mm in diameter and smaller white eggs had diameters of 0.5-1.5 mm (Ref. 91047).",NA
Careproctus melanurus,Liparidae,Scorpaeniformes,Careproctus melanurus,bathydemersal,89,2286,NA,54,TL,hunting macrofauna (predator),"Found on mud bottoms (Ref. 2850).  Possibly the most commonly captured liparid below 200 m; captured frequently by fishers (Ref. 26773).  Known to feed on polychaete worms, small crustaceans, tiny clams and other invertebrates (Ref. 4525).",NA
Careproctus microstomus,Liparidae,Scorpaeniformes,Careproctus microstomus,bathydemersal,2721,3585,NA,15.300000190734863,SL,NA,NA,NA
Careproctus oregonensis,Liparidae,Scorpaeniformes,Careproctus oregonensis,bathydemersal,1900,2818,NA,15.300000190734863,SL,NA,NA,NA
Careproctus ostentum,Liparidae,Scorpaeniformes,Careproctus ostentum,bathydemersal,73,1660,NA,NA,NA,NA,NA,NA
Careproctus ovigerus,Liparidae,Scorpaeniformes,Careproctus ovigerus,bathydemersal,1920,2910,NA,43.099998474121094,SL,NA,"The holotype, a male, was found to carry developing eggs in its mouth (Ref. 6885).  Two females were ripe with large yolked eggs 6-7 mm in diameter, while the male of 33.0 cm SL had enlarged testes. Two smallest and immature females examined (18.0-18.5 cm SL) had small ovaries with many small white eggs ca. 1 mm in diameter (Ref. 91047).",NA
Careproctus phasma,Liparidae,Scorpaeniformes,Careproctus phasma,demersal,37,508,NA,NA,NA,NA,Maximum depth reported at 508 m (Ref. 50610).,NA
Careproctus rastrinus,Liparidae,Scorpaeniformes,Careproctus rastrinus,bathydemersal,55,913,NA,51,SL,NA,NA,NA
Careproctus scottae,Liparidae,Scorpaeniformes,Careproctus scottae,demersal,8,183,NA,NA,NA,NA,NA,NA
Careproctus simus,Liparidae,Scorpaeniformes,Careproctus simus,bathydemersal,380,800,non-migratory,18.600000381469727,SL,NA,NA,NA
Careproctus zachirus,Liparidae,Scorpaeniformes,Careproctus zachirus,bathydemersal,150,850,NA,32,TL,NA,NA,NA
Crystallichthys cyclospilus,Liparidae,Scorpaeniformes,Crystallichthys cyclospilus,demersal,53,830,NA,NA,NA,NA,NA,NA
Elassodiscus caudatus,Liparidae,Scorpaeniformes,Elassodiscus caudatus,bathydemersal,335,1040,NA,8.5,SL,NA,NA,NA
Elassodiscus obscurus,Liparidae,Scorpaeniformes,Elassodiscus obscurus,bathydemersal,161,1773,NA,28.600000381469727,SL,NA,NA,NA
Elassodiscus tremebundus,Liparidae,Scorpaeniformes,Elassodiscus tremebundus,bathydemersal,130,1800,NA,34.29999923706055,SL,NA,NA,NA
Gyrinichthys minytremus,Liparidae,Scorpaeniformes,Gyrinichthys minytremus,bathydemersal,NA,640,NA,NA,NA,NA,A recent reference acknowledging the validity of this species is needed.,NA
Liparis bathyarcticus,Liparidae,Scorpaeniformes,Liparis bathyarcticus,bathydemersal,400,647,NA,14,TL,NA,NA,NA
Liparis bristolensis,Liparidae,Scorpaeniformes,Liparis bristolensis,demersal,31,77,NA,NA,NA,NA,NA,NA
Liparis callyodon,Liparidae,Scorpaeniformes,Liparis callyodon,demersal,0,20,NA,12.699999809265137,TL,hunting macrofauna (predator),Occurs in tide pools and other intertidal areas (Ref. 2850).,NA
Liparis cyclopus,Liparidae,Scorpaeniformes,Liparis cyclopus,demersal,0,183,NA,11.399999618530272,TL,NA,"Occurs from near shore (also in tide pools)  to 183 m depth (Ref. 2850, 51661).",NA
Liparis dennyi,Liparidae,Scorpaeniformes,Liparis dennyi,demersal,73,225,NA,30.5,TL,NA,Inhabits subtidal to 225 meters (Ref. 51661).  Feeds on crustaceans (Ref. 4925).,NA
Liparis fabricii,Liparidae,Scorpaeniformes,Liparis fabricii,bathydemersal,6,1880,NA,21,TL,hunting macrofauna (predator),"Inhabits mud bottoms (Ref. 5951).  Epibenthic (Ref. 58426).  Maximum depth reported at 1800 m (Ref. 58426) and 2,500 m (Ref. .  Feeds on benthic and pelagic crustaceans (Ref. 4702), and worms (Ref. 58426).","Epibenthic (Ref. 58426).  Feeds on benthic, pelagic crustaceans (Ref. 4702), and worms (Ref. 58426).  It is preyed upon by Atlantic cod, tern, seal and murres (Ref. 5951)."
Liparis fucensis,Liparidae,Scorpaeniformes,Liparis fucensis,bathydemersal,225,388,NA,18,TL,NA,Occurs near shore and to 388 m depth (Ref.2850).  Feeds on shrimps and other crustaceans (Ref. 6885).,NA
Liparis gibbus,Liparidae,Scorpaeniformes,Liparis gibbus,demersal,0,647,NA,52,TL,hunting macrofauna (predator),"Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic species.  Feeds on crustaceans (Ref. 58426), such as amphipods and crabs (Ref. 5951).","Occurs among seaweeds or rocks (Ref. 7251).  Often found in empty scallop shells (Ref. 7251).  Benthic; feeds on crustaceans (Ref. 58426).  Actively feeds above the substrate, in the vicinity of plants (Ref. 46872).  It is preyed upon by Atlantic cod.  Parasite of the species is known to be a trypanosome, <i>Trypanosoma murmanensis</i> (Ref. 5951)."
Liparis marmoratus,Liparidae,Scorpaeniformes,Liparis marmoratus,demersal,96,165,NA,NA,NA,NA,NA,NA
Liparis megacephalus,Liparidae,Scorpaeniformes,Liparis megacephalus,demersal,58,69,NA,NA,NA,NA,NA,NA
Liparis ochotensis,Liparidae,Scorpaeniformes,Liparis ochotensis,demersal,0,761,NA,66,FL,NA,NA,NA
Liparis pulchellus,Liparidae,Scorpaeniformes,Liparis pulchellus,demersal,9,183,NA,25,TL,NA,Found on soft bottoms (Ref. 2850).  Feed on crustaceans and polychaete worms (Ref. 6885).  Taken by shrimp trawlers operating down to 92 m (Ref. 6885).,NA
Liparis rutteri,Liparidae,Scorpaeniformes,Liparis rutteri,demersal,0,73,NA,7,SL,selective plankton feeding,Occurs from intertidal areas to 73 m depth (Ref. 2850).,NA
Liparis tunicatus,Liparidae,Scorpaeniformes,Liparis tunicatus,demersal,0,620,NA,16,TL,hunting macrofauna (predator),"Commonly lives in large clusters of kelp (Ref. 7251).  It prefers bottom types like pebbles, stones or boulders, mud and sand (Ref. 5951).  Benthic species.  Feeds on crustaceans (Ref. 58426); especially amphipods (Ref. 5951).","Commonly lives in large clusters of kelp (Ref. 7251).  Benthic; feeds on crustaceans (Ref. 58426).  It is preyed upon by seals, harp and grey seals.  Parasite found from the gills was a copepod, <i>Haemobaphes cyclopterina</i> (Ref. 5951)."
Lipariscus nanus,Liparidae,Scorpaeniformes,Lipariscus nanus,benthopelagic,0,910,NA,6.300000190734863,SL,NA,NA,NA
