species,family,order,fishbase_name,fishbase_column_pos,depth_min,depth_max,migration,length_cm,length_type,diet_fishbase,buek_diet,diet_cat,diet_source,feeding_pos,mouth_pos,caudal_fin_shape,bottom_type,habitat,add_rems,comments,temp_min,temp_max,salinity_min,salinity_max,salinity_comments,temp_sal_source,parental_care,fecundity,life_span,social,sources,fish,decapod,pelagic_crustacean,pteropoda,worm,tunicate,cephalopod,gastropod,ctenophora,echinoderm,bivalvia,cnidaria,eggs,bird,in_phylo
Microgadus proximus,Gadidae,Gadiformes,Microgadus proximus,NA,25,260,oceanodromous,37,TL,hunting macrofauna (predator),benthivorous,generalist,fishbase,variable,terminal,truncate,sandy bottoms,demersal,NA,"Generally found over sand (Ref. 1371).  May enter brackish water (Ref. 1371).  Young move into shallow waters in summer and fall, whereas adults usually stay in deeper waters (Ref. 28499).  Feeds on shrimps, amphipods, isopods, gastropods, mussels and fishes (Ref. 1371).  An important prey species (Ref. 2850).",1.4,18,NA,NA,wide salinity tolerance,Love 2011,non-guarder,NA,NA,schooling,Love 2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gasterosteus aculeatus,Gasterosteidae,Gasterosteiformes,Gasterosteus aculeatus,benthopelagic,0,100,anadromous,11,TL,hunting macrofauna (predator),generalist,generalist,USGS,variable,terminal,truncate,sandy and rocky bottoms,pelagic,"Shoaling species outside the breeding season, especially when young.  Inhabits vegetated areas, usually over mud or sand (Ref. 5723).  In the sea, confined to coastal waters.  Forms schools.  Eggs are found in nests constructed from plant material (Ref. 41678).  Anadromous and nerito-pelagic (Ref. 58426).  Feeds on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Preyed upon by American mergansers.","Adults occur in fresh waters, estuaries and coastal seas (Ref. 4119).  Anadromous, with numerous non-anadromous populations in brackish or pure freshwater, rarely in marine waters.  In the sea, confined to coastal waters.  In freshwater, adults prefer to live in small stream but may occur in a variety of habitats including lakes and large rivers (Ref. 59043).  Inhabit shallow vegetated areas, usually over mud or sand (Ref. 5723).  Form schools.  Young associated with drifting seaweed (Ref. 12114, 12115).  Juveniles move to the sea (anadromous populations) or to deeper, larger water bodies (freshwater populations) in July-August, forming large feeding schools (Ref. 59043).  Feed on worms, crustaceans, larvae and adult aquatic insects, drowned aerial insects, and small fishes; has also been reported to feed on their own fry and eggs (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Maximum length in freshwater is 8 cm while in saltwater is 11 cm (Ref. 35388).  Occasionally taken commercially in Scandinavia and processed into fishmeal and oil (Ref. 28219, 28964).  Commonly used as a laboratory animal (Ref. 1998).  A large bibliography is available at www.geocities.com/CapeCanaveral/Hall/1345/stickbibl.html.",4,28,0,32,NA,USGS,guarder,1300,5,schooling,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Pungitius pungitius,Gasterosteidae,Gasterosteiformes,Pungitius pungitius,benthopelagic,0,110,anadromous,9,TL,hunting macrofauna (predator),generalist,planktivore,USGS,pelagic,terminal,truncate,sandy and rocky bottoms,pelagic,"Found in shallow vegetated areas of lakes, ponds, and pools of sluggish streams; sometimes in open water over sand (Ref. 5723).  Marine populations found near shore and move into freshwater to spawn (Ref. 5723).  There appears to be seasonal movements inshore to shallow water in the spring for spawning, and, in the fall, offshore to deep water, or even to the less saline parts of the sea, by the young and adults that survive spawning (Ref. 27547).  Nerito-pelagic (Ref. 58426).  Feeds on small invertebrates; also on aquatic insects and their  eggs and larvae (Ref. 1998). During breeding season, the eggs and larvae are consumed as food (Ref. 1998).  It is preyed upon by fish-eating birds, kingfishers and mergansers; fishes such as walleye, brook trout, lake trout, yellow perch and burbot.  Parasites of the species include 3 protozoans, 3 myxosporidians, 3 monogeneans, 8 trematodes, 5 cestodes, 6 acanthocephalans, 2 molluscs, 1 branchiuran and 2 copepods (Ref. 5951).","Found in shallow vegetated areas of lakes, ponds, and pools of sluggish streams; sometimes in open water over sand (Ref. 5723).  Marine populations found near shore and move into fresh water to spawn (Ref. 5723).  There appears to be seasonal movements inshore to shallow water in the spring for spawning, and, in the fall, offshore to deep water, or even to the less saline parts of the sea, by the young and adults that survive spawning (Ref. 27547).  Nerito-pelagic (Ref. 58426).  Feed on small invertebrates; also on aquatic insects and their  eggs and larvae (Ref. 1998).  Eggs are found in nests constructed from plant material (Ref. 41678).  Males build, guard and aerate the nest where the eggs are deposited (Ref. 205).  Females grow faster and live longer than do other males (Ref. 27547).  Males seldom live beyond age three, due to heavy post-spawning mortality, but females may live to age five or more (Ref. 27547).  When abundant, it is preyed upon by other fishes (Ref. 1998); also preyed by birds (Ref. 27547).  May be used as human or dog food or as a source of oil (Ref. 27547).",-1.9,20,0,32,NA,USGS,brooding,960,3.5,schooling,USGS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Gigantactis vanhoeffeni,Gigantactinidae,Lophiiformes,Gigantactis vanhoeffeni,bathypelagic,300,5300,NA,NA,NA,NA,NA,carnivore,fishbase,NA,terminal,truncate,NA,NA,NA,Rarely caught (Ref. 559).,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cyclothone acclinidens,Gonostomatidae,Stomiiformes,Cyclothone acclinidens,bathypelagic,0,4416,oceanodromous,6.300000191,SL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Oceanic, deep-mesopelagic (Ref. 4769, 58302) and bathypelagic (Ref. 58302).  Usually vertically oriented during the day (Ref. 4769).  Nocturnal feeder (Ref. 9186) on copepods (Ref. 4769).  Oviparous, with planktonic eggs and larvae (Ref. 35800).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cyclothone atraria,Gonostomatidae,Stomiiformes,Cyclothone atraria,bathypelagic,298,4938,NA,6.199999809,SL,NA,NA,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,NA,"Meso- to bathypelagic (Ref. 58302).  Inhabits deep water and is only captured with special equipment.  Lipid content is 4.0 % in fresh body weight  and wax ester is 58.4 % in total lipid (Ref. 9193).  Protandrous hermaphrodite, oviparous with planktonic eggs and larvae (Ref. 35800).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cyclothone pseudopallida,Gonostomatidae,Stomiiformes,Cyclothone pseudopallida,bathypelagic,0,4938,NA,4.599999905,SL,NA,NA,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Oceanic, precise depth range dependent upon developmental stage, latitude, season (Ref. 4769).  No apparent vertical migration observed (Ref. 4463).  Feeds primarily on calanoid copepods (Ref. 51904).","Meso- to bathypelagic (Ref. 58302).  Oceanic, precise depth range dependent upon developmental stage, latitude, season (Ref. 4769).  No apparent vertical migration observed (Ref. 4463).  Lipid content is 4.3 % in fresh body weight and wax ester is 53.5 % in total lipids (Ref. 9193).  Oviparous, with planktonic eggs and larvae (Ref. 35800).  Minimum depth from Ref. 58018.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Cyclothone signata,Gonostomatidae,Stomiiformes,Cyclothone signata,bathypelagic,16,4938,NA,3,TL,selective plankton feeding,NA,planktivore,fishbase,pelagic,terminal,forked,pelagic,pelagic,"Epipelagic and mesopelagic species, usually in upper 800 m depth with abundance maximum in upper 100 and 400-500 m (Ref. 35800).","Epipelagic and mesopelagic species, usually in upper 800 m depth with abundance maximum in upper 100 and 400-500 m (Ref. 35800).  Bathypelagic (Ref. 58302).  Oviparous, with planktonic eggs and larvae (Ref. 35800).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Sigmops gracilis,Gonostomatidae,Stomiiformes,Sigmops gracilis,bathypelagic,0,4389,NA,13.31999969,SL,NA,NA,NA,NA,pelagic,terminal,forked,pelagic,pelagic,NA,"Mesopelagic, nonmigratory at 200-1000 m (Ref. 58302).  Migrates towards surface at night (Ref. 43939).  Larvae and juveniles in upper 200 m (Ref. 43939). Minimum  depth from Ref. 43939.",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Blepsias bilobus,Hemitripteridae,Scorpaeniformes,Blepsias bilobus,NA,0,190,NA,27,TL,NA,generalist,generalist,Beukhof et al. 2019,pelagic,terminal,truncate,rocky bottoms,demersal,NA,Found near shore (Ref. 2850); often well above the bottom (Ref. 48798).,-0.25,11.4,NA,NA,NA,USGS,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Blepsias cirrhosus,Hemitripteridae,Scorpaeniformes,Blepsias cirrhosus,demersal,0,150,NA,20,SL,variable,NA,planktivore,Buser et al. 2019,variable,terminal,truncate,rocky bottoms,demersal,NA,"Occurs in intertidal areas and to 37 m depth, but more common in subtidal areas (Ref. 2850).  Often found among algae (Ref. 2850).  Adults inject eggs into the tissue near the gastral cavity of a sponge to use as a spawning bed (Ref. 34818).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hemitripterus bolini,Hemitripteridae,Scorpaeniformes,Hemitripterus bolini,NA,25,925,NA,73.4,TL,hunting macrofauna (predator),generalist,piscivore,NOAA,pelagic,terminal,rounded,soft bottoms,benthic,NA,Occurs offshore (Ref. 2850).,-0.2,8.5,NA,NA,NA,Love 2011,guarder,NA,NA,NA,NA,82.10526316,10,0,0,0.526315789,0,0.526315789,1.052631579,0,4.210526316,0.526315789,1.052631579,0,0,FALSE
Hemitripterus villosus,Hemitripteridae,Scorpaeniformes,Hemitripterus villosus,demersal,0,550,NA,35,SL,hunting macrofauna (predator),NA,piscivore,fishbase,pelagic,terminal,rounded,NA,benthic,The principal food at 10-16 cm length are mysids and shrimp. Becomes primarily piscivorous at lengths of 16-18 cm in the second year of life (Ref. 41408).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Nautichthys oculofasciatus,Hemitripteridae,Scorpaeniformes,Nautichthys oculofasciatus,demersal,NA,110,NA,20,TL,hunting macrofauna (predator),generalist,generalist,Beukhof et al. 2019,NA,terminal,rounded,rocky bottoms,benthic,NA,"Occurs inshore and to 110 m depth, mostly on rocky bottoms and areas with algae (Ref. 2850).  Nocturnal (Ref. 6885).  May be found upside down against roofs of crevices (Ref. 6885).  Swims with its dorsal fin extended in front of its head (Ref. 6885).  Eggs deposited in late winter or spring (Ref. 6885).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Nautichthys pribilovius,Hemitripteridae,Scorpaeniformes,Nautichthys pribilovius,NA,0,422,NA,10,TL,hunting macrofauna (predator),NA,invertivore,USGS,benthic,terminal,truncate,sandy and rocky bottoms,benthic,NA,NA,-1.7,11.4,NA,NA,slightly estuarine,USGS,guarder,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Nautichthys robustus,Hemitripteridae,Scorpaeniformes,Nautichthys robustus,demersal,0,73,NA,8,TL,NA,NA,NA,NA,NA,terminal,rounded,sandy and rocky bottoms,NA,NA,"Occurs near shore and to 73 m depth, on sand and rock bottoms and shallow exposed areas (Ref. 2850).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hexagrammos decagrammus,Hexagrammidae,Scorpaeniformes,Hexagrammos decagrammus,NA,0,46,NA,53,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,benthic,terminal,truncate,rocky bottoms,benthic,NA,"Occurs in rocky inshore areas, common on kelp beds, also on sand bottoms (Ref. 2850).  Feeds on crustaceans, polychaete worms, brittle stars, mollusks, and small fishes (Ref. 28499).  Young are food of steelheads and salmon (Ref. 6885).  Frequently caught by shore and skiff fishers and speared by divers (Ref. 2850).",NA,NA,NA,NA,NA,NA,guarder,125000,25,solitary,Love 2011,12.05673759,51.77304965,5.673758865,0,18.43971631,0,2.836879433,4.964539007,0,2.127659574,0,1.418439716,0.709219858,0,TRUE
Hexagrammos lagocephalus,Hexagrammidae,Scorpaeniformes,Hexagrammos lagocephalus,demersal,0,596,NA,61,TL,hunting macrofauna (predator),generalist,generalist,fishbase,benthic,terminal,truncate,rocky bottoms,NA,"Commonly found in shallow rocky areas, especially on exposed coasts (Ref. 2850).  Often captured by shore fishers (Ref. 2850).","Commonly found in shallow rocky areas, especially on exposed coasts (Ref. 2850).  Often captured by shore fishers (Ref. 2850).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hexagrammos octogrammus,Hexagrammidae,Scorpaeniformes,Hexagrammos octogrammus,demersal,0,200,NA,42,TL,NA,NA,invertivore,fishbase,NA,terminal,truncate,rocky bottoms,NA,NA,Found in shallow rocky areas (Ref. 2850).  Caught by anglers (Ref. 559).,NA,NA,NA,NA,NA,NA,guarder,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hexagrammos stelleri,Hexagrammidae,Scorpaeniformes,Hexagrammos stelleri,NA,0,175,NA,48,TL,variable,generalist,generalist,fishbase,benthic,terminal,truncate,rocky bottoms,demersal,Feeds on fish and zoobenthos (Ref. 6885).,"Ranges from the intertidal zone to 175 m depth, possibly to 475 m (Ref. 6793).  Found near rocks, pilings and eelgrass beds (Ref. 2850).  Feed on worms, crustaceans, and small fishes (Ref. 6885).  Neither anterolateral glandular groove nor venom gland is present (Ref. 37773).",-1.5,11.7,NA,NA,estuarine,Love 2011,guarder,12397,6,solitary,"Mecklenburg et al 2018, Love 2011",13.93442623,19.67213115,43.44262295,0,15.57377049,0,0,0.819672131,0,0,0,4.098360656,2.459016393,0,TRUE
Ophiodon elongatus,Hexagrammidae,Scorpaeniformes,Ophiodon elongatus,NA,0,475,oceano-estuarine,152,TL,hunting macrofauna (predator),generalist,piscivore,NOAA,variable,terminal,truncate,rocky bottoms,benthic,"A voracious carnivore; feeds on fishes, crustaceans, octopi and squids (Ref. 2850, 48751).","Ranges from the intertidal to 475 m depth (Ref. 6793).  Adults are found near rocks, inshore and to 427 m (Ref. 2850).  Young occur on sand or mud bottom of bays and inshore areas (Ref. 2850).  Both migratory and non-migratory populations exist (Ref. 6885).  Adults feed mostly on other fishes but also take crustaceans, octopi and squid (Ref. 4925).  Young feed on copepods and other small crustaceans (Ref. 6885).  A very important sport and commercial species (Ref. 2850).  The liver is rich in vitamin A (Ref. 6885).  Marketed fresh and frozen; eaten steamed, fried, broiled, boiled, microwaved and baked (Ref. 9988).  Has sharp teeth and gill rakers that can cut fingers if handled.",NA,NA,NA,NA,NA,NA,guarder,490000,33,solitary,"Blake et al. supp mat, Love 2011",86.2745098,1.960784314,1.307189542,0,0.653594771,0,8.496732026,0,0,0,0.653594771,0.653594771,0,0,TRUE
Oxylebius pictus,Hexagrammidae,Scorpaeniformes,Oxylebius pictus,demersal,0,49,NA,25,TL,hunting macrofauna (predator),benthivorous,invertivore,fishbase,benthic,terminal,truncate,rocky bottoms,benthic,NA,"Found in rocky areas, from the intertidal to 49 m (Ref. 2850).  Sleeps on the oral disc, leaving the anemone (<i>Urticina lofotensis</i>) by day but returning every night (Ref. 45560).  Commonly encountered hovering motionless by divers (Ref. 2850).  Feeds on crustaceans, polychaetes, small mollusks and bryozoans (Ref. 4930).  Neither anterolateral glandular grooves nor venom gland is present (Ref. 57406).",NA,NA,NA,NA,NA,NA,guarder,NA,8,solitary,van kells,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Pleurogrammus monopterygius,Hexagrammidae,Scorpaeniformes,Pleurogrammus monopterygius,NA,0,575,NA,60,TL,hunting macrofauna (predator),generalist,invertivore,NOAA,demersal,terminal,forked,rocky bottoms,demersal,NA,"This species is found at the demersal zone and near surface over reefs and hard bottoms from intertidal zone to about 2.360 ft (719.8 m).  It is preyed upon by other fishes, sea birds and marine mammals (Ref 114183).",2,8.7,NA,NA,NA,Love 2011,guarder,100000,14,schooling,Blake et al. supp mat,2.782519631,3.678729942,65.80744281,2.714236941,6.486855582,8.245134858,4.233526801,4.916353704,0.119494708,0.008535336,0.093888699,0.392625469,0.486514169,0.034141345,TRUE
Zaniolepis frenata,Hexagrammidae,Scorpaeniformes,Zaniolepis frenata,demersal,4,450,NA,25,TL,selective plankton feeding,planktivorous,planktivore,fishbase,pelagic,terminal,truncate,mud bottoms,demersal,NA,"Mostly found on mud bottom from 55-244 m depth.  Polychaete worms appear to be the preferred food, but euphausiids, amphipods, and fish eggs have been found in their stomachs (Ref. 4525).",NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Zaniolepis latipinnis,Hexagrammidae,Scorpaeniformes,Zaniolepis latipinnis,demersal,37,201,NA,30,TL,hunting macrofauna (predator),generalist,planktivore,fishbase,pelagic,terminal,truncate,mud and rocky bottoms,demersal,Mysidacea found the most abundant food organisms (Ref. 50692).,Feeds on crustaceans (Ref. 4925).,NA,NA,NA,NA,NA,NA,guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Hexanchus griseus,Hexanchidae,Hexanchiformes,Hexanchus griseus,bathydemersal,1,2500,oceanodromous,482,TL,hunting macrofauna (predator),generalist,carnivore,fishbase,variable,inferior,heterocercal,variable,demersal,"Depth range reported at 0m-2000m.  A deepwater species of the outer continental and insular shelves and upper slopes (Ref. 6871, 75154).  Near bottom, occasionally pelagic, adults usually below 91 m (Ref. 58302).  Juveniles may be found close inshore (Ref. 6871).  Found on the bottom by day, moving to the surface at night to feed, and where it may take longlines set for other species (Ref. 45445).  Depth distribution related to growth and temperature, with juveniles having most shallow records and from colder, poleward regions (Ref. 58302).  Feeds on a wide range of marine organisms, including other sharks, rays, chimaeras, bony fish, squids, crabs, shrimps, carrion, and even seals.  Is a eurytrophic predator that is capable of exploiting a wide range of prey species and habitats (Ref. 26969).  A vertical migrant, it may sit on the bottom  by day, and rise to the surface at night to feed (Ref. 247).","Depth range reported at 0m-2000m. A deepwater species of the outer continental and insular shelves and upper slopes (Ref. 6871).  Near bottom, occasionally pelagic, adults usually below 91 m (Ref. 58302).  Juveniles may be found close inshore (Ref. 6871).  Found on the bottom by day, moving to the surface at night to feed, and where it may take longlines set for other species (Ref. 45445).  Depth distribution related to growth and temperature, with juveniles having most shallow records and from colder, poleward regions (Ref. 58302).  Feeds on a wide range of marine organisms, including other sharks, rays, chimaeras, bony fish, squids, crabs, shrimps, carrion, and even seals.  Ovoviviparous (Ref. 205), with 22 to 108 pups in a litter (Ref. 247).  Marketed fresh, frozen, or dried salted; also utilized as a source of oil and fishmeal.  Not known to have attacked people without provocation (Ref. 247).  Give birth to almost 100 young (Ref. 35388).",NA,NA,NA,NA,NA,NA,bearer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Icosteus aenigmaticus,Icosteidae,Perciformes,Icosteus aenigmaticus,NA,0,1420,NA,213,TL,hunting macrofauna (predator),generalist,generalist,fishbase,pelagic,terminal,truncate,pelagic,demersal,NA,"Adults occur near bottom; juveniles in shallow water or offshore near the surface (Ref. 50277). Feeds on jellyfish (Ref. 50277), fishes and squids (Ref. 2850), as well as octopuses (Ref. 4525).",NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Lamna ditropis,Lamnidae,Lamniformes,Lamna ditropis,pelagic-oceanic,0,650,oceanodromous,305,TL,hunting macrofauna (predator),piscivorous,carnivore,fishbase,pelagic,inferior,heterocercal,pelagic,pelagic,A carnivore (Ref. 9137).,"A coastal-littoral and epipelagic shark that prefers boreal to cool temperate waters, from the surface to at least 152 m, and is common in continental offshore waters but range inshore to just off beaches. Occurs singly or in schools or feeding aggregations of several individuals; feeds on fishes (Ref. 247). Seasonally migratory (following food prey) and segregate by age and sex where adults  move further north than young (Ref. 58085). Ovoviviparous, embryos feeding on yolk sac and other ova produced by the mother (Ref. 50449).  With up to 4 young in a litter (Ref. 247).  Fast swimmer (Ref. 9988).  Potentially dangerous but has never or seldom been implicated in human attacks (Ref. 247).  Causes considerable damage to commercial catches and gear (Ref. 6885).  Utilized fresh, dried or salted, and frozen; fins, hides and livers are also used, with fins having particular value; can be broiled and baked (Ref. 9988). Reported to attain at least 27 years of age and reach maximum depth of at least 792 m (in Ref. 119696).",NA,NA,NA,NA,NA,NA,bearer,NA,27,schooling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Lampris guttatus,Lamprididae,Lampridiformes,Lampris guttatus,bathypelagic,0,500,oceanodromous,200,TL,hunting macrofauna (predator),NA,carnivore,fishbase,pelagic,terminal,lunate,pelagic,pelagic,Occurs in inshore waters (Ref. 75154).,"Oceanic and apparently solitary (Ref. 6737).  Epi- and mesopelagic (Ref. 58302).  Feeds on midwater fishes and invertebrates, mainly squids (Ref. 6737).  Probably spawns in the spring (Ref. 6885).  Occasionally taken as a by-catch of tuna fisheries.  Considered a good food fish (Ref. 5242); marketed fresh and frozen; prepared as sashimi (Ref. 9987).  Swims by flapping the pectoral fins (Ref. 36731).",NA,NA,NA,NA,NA,NA,NA,NA,NA,solitary,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Acantholiparis opercularis,Liparidae,Scorpaeniformes,Acantholiparis opercularis,bathydemersal,227,3610,NA,6.900000095,SL,NA,NA,NA,NA,NA,inferior,rounded,NA,NA,NA,Minimum depth reported at 227 m (Ref. 51661).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Allocareproctus jordani,Liparidae,Scorpaeniformes,Allocareproctus jordani,bathydemersal,75,631,NA,34,TL,NA,benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,NA,NA,NA,"Smallest female with yolked eggs measured 10.5. cm SL; smallest male with enlarged, swollen testes 7.45 cm SL (Ref. 57077).",NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Allocareproctus kallaion,Liparidae,Scorpaeniformes,Allocareproctus kallaion,bathydemersal,278,458,NA,19.5,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Smallest female with yolked eggs measured 16.2 cm SL; smallest male with enlarged, swollen testes 12.4 cm SL (Ref. 57077).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Allocareproctus tanix,Liparidae,Scorpaeniformes,Allocareproctus tanix,bathydemersal,104,620,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Smallest female with yolked eggs measured 7.76 cm SL; smallest male with enlarged, swollen testes 6.38 cm SL (Ref. 57077).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Allocareproctus unangas,Liparidae,Scorpaeniformes,Allocareproctus unangas,bathydemersal,210,465,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Smallest female with yolked eggs measured 9.1 cm SL; smallest male with enlarged, swollen testes 7.67 cm SL.  Eggs were collected from the octocoral <i>Primnoa</i> sp. from Seguam Pass, with eggs of another liparid (Ref. 57077).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Allocareproctus ungak,Liparidae,Scorpaeniformes,Allocareproctus ungak,bathydemersal,318,461,NA,12.93000031,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,"Smallest female with yolked eggs measured 8.5 cm SL; smallest male with enlarged, swollen testes 9.5 cm SL (Ref. 57077).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus abbreviatus,Liparidae,Scorpaeniformes,Careproctus abbreviatus,bathydemersal,325,1143,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus bowersianus,Liparidae,Scorpaeniformes,Careproctus bowersianus,bathydemersal,629,800,NA,NA,NA,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Maximum depth reported at 800 m (Ref. 12700).,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus canus,Liparidae,Scorpaeniformes,Careproctus canus,bathydemersal,244,434,NA,15.89999962,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus colletti,Liparidae,Scorpaeniformes,Careproctus colletti,bathydemersal,64,1350,NA,44,TL,NA,benthivorous,invertivore,Beukhof et al. 2019,benthic,terminal,rounded,sandy mud bottoms,NA,Found on mud and sand bottoms (Ref. 43939).,Found on mud and sand bottoms (Ref. 43939).,NA,NA,NA,NA,NA,NA,non-guarder,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE
Careproctus comus,Liparidae,Scorpaeniformes,Careproctus comus,demersal,189,400,NA,9.859999657,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,non-guarder,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
Careproctus curilanus,Liparidae,Scorpaeniformes,Careproctus curilanus,bathydemersal,NA,419,NA,6.400000095,SL,NA,NA,NA,NA,NA,terminal,rounded,NA,NA,NA,Minimum depth from Ref. 58018.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
